"Source:","G:\MLAB_G\Moduly_zvlast\BP02\hw\sch_pcb\BP02A.kicad_sch"
"Date:","08.06.2021 6:42:01"
"Tool:","Eeschema (5.99.0-10394-g2e15de97e0)"
"Generator:","C:\Program Files\KiCad\5.99\bin\scripting\plugins/bom_csv_grouped_by_value.py"
"Component Count:","38"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","MFPN","UST_ID"
"","","C1","100pF","QFHMIX01C-rescue:C_Small-device-QFHMIX01B-rescue","Capacitor_SMD:C_0805_2012Metric","","","5c70984712875079b91f8b3b"
"","","C2","100pF","QFHMIX01C-rescue:C_Small-device-QFHMIX01B-rescue","Capacitor_SMD:C_0805_2012Metric","","","5c70984712875079b91f8b3b"
"","","C3","100pF","QFHMIX01C-rescue:C_Small-device-QFHMIX01B-rescue","Capacitor_SMD:C_0805_2012Metric","","","5c70984712875079b91f8b3b"
"","","C4","100pF","QFHMIX01C-rescue:C_Small-device-QFHMIX01B-rescue","Capacitor_SMD:C_0805_2012Metric","","","5c70984712875079b91f8b3b"
"","","C5","18pF","QFHMIX01C-rescue:C_Small-device-QFHMIX01B-rescue","Capacitor_SMD:C_0805_2012Metric","","","5c70984712875079b91f8b33"
"","","C6","33pF","QFHMIX01C-rescue:C_Small-device-QFHMIX01B-rescue","Capacitor_SMD:C_0805_2012Metric","","","5c70984712875079b91f8b37"
"","","C7","18pF","QFHMIX01C-rescue:C_Small-device-QFHMIX01B-rescue","Capacitor_SMD:C_0805_2012Metric","","","5c70984712875079b91f8b33"
"","","C8","39pF","QFHMIX01C-rescue:C_Small-device-QFHMIX01B-rescue","Capacitor_SMD:C_0805_2012Metric","","","5dad549f128750448eca1926"
"","","C9","18pF","QFHMIX01C-rescue:C_Small-device-QFHMIX01B-rescue","Capacitor_SMD:C_0805_2012Metric","","","5c70984712875079b91f8b33"
"","","C10","100pF","QFHMIX01C-rescue:C_Small-device-QFHMIX01B-rescue","Capacitor_SMD:C_0805_2012Metric","","","5c70984712875079b91f8b3b"
"","","C11","100pF","QFHMIX01C-rescue:C_Small-device-QFHMIX01B-rescue","Capacitor_SMD:C_0805_2012Metric","","","5c70984712875079b91f8b3b"
"","","C12","100pF","QFHMIX01C-rescue:C_Small-device-QFHMIX01B-rescue","Capacitor_SMD:C_0805_2012Metric","","","5c70984712875079b91f8b3b"
"","","C13","100pF","QFHMIX01C-rescue:C_Small-device-QFHMIX01B-rescue","Capacitor_SMD:C_0805_2012Metric","","","5c70984712875079b91f8b3b"
"","","J1","SATA7-67491-1030","FMC2DIFF-rescue:SATA7-67491-1030-konektory","Mlab_CON:SATA-7_THT_VERT_2","","","5c70984712875079b91f8a7b"
